cowId,value,date
12345,65432,2023-11-01
54321,34128,2023-11-01
56721,98746,2023-11-01
13252,23478,2023-11-01
76677,87654,2023-11-01
63528,56789,2023-11-01
12345,45321,2023-11-02
54321,98765,2023-11-02
56721,23456,2023-11-02
13252,87654,2023-11-02
76677,34567,2023-11-02
63528,67890,2023-11-02
12345,54321,2023-11-03
54321,87654,2023-11-03
56721,34567,2023-11-03
13252,56789,2023-11-03
76677,98765,2023-11-03
63528,23456,2023-11-03
12345,23478,2023-11-04
54321,45321,2023-11-04
56721,65432,2023-11-04
13252,87654,2023-11-04
76677,56789,2023-11-04
63528,98765,2023-11-04
12345,87654,2023-11-05
54321,98765,2023-11-05
56721,34567,2023-11-05
13252,56789,2023-11-05
76677,23456,2023-11-05
63528,54321,2023-11-05
12345,23478,2023-11-06
54321,45321,2023-11-06
56721,65432,2023-11-06
13252,87654,2023-11-06
76677,56789,2023-11-06
63528,98765,2023-11-06
12345,34567,2023-11-07
54321,23456,2023-11-07
56721,87654,2023-11-07
13252,98765,2023-11-07
76677,54321,2023-11-07
63528,23478,2023-11-07
12345,56789,2023-11-08
54321,34567,2023-11-08
56721,98765,2023-11-08
13252,23456,2023-11-08
76677,45321,2023-11-08
63528,65432,2023-11-08
12345,87654,2023-11-09
54321,98765,2023-11-09
56721,34567,2023-11-09
13252,23456,2023-11-09
76677,45321,2023-11-09
63528,65432,2023-11-09
12345,87654,2023-11-10
54321,98765,2023-11-10
56721,34567,2023-11-10
13252,23456,2023-11-10
76677,45321,2023-11-10
63528,65432,2023-11-10
12345,87654,2023-11-11
54321,98765,2023-11-11
56721,34567,2023-11-11
13252,23456,2023-11-11
76677,45321,2023-11-11
63528,65432,2023-11-11
12345,87654,2023-11-12
54321,98765,2023-11-12
56721,34567,2023-11-12
13252,23456,2023-11-12
76677,45321,2023-11-12
63528,65432,2023-11-12
12345,87654,2023-11-13
54321,98765,2023-11-13
56721,34567,2023-11-13
13252,23456,2023-11-13
76677,45321,2023-11-13
63528,65432,2023-11-13
12345,87654,2023-11-14
54321,98765,2023-11-14
56721,34567,2023-11-14
13252,23456,2023-11-14
76677,45321,2023-11-14
63528,65432,2023-11-14